"id(l)","id(a)"
"Hop Protocol","0xc78c53102e161094d848ee167145e5d45eaa6853"
"Phishing/Hacking","0x7087c6764d6d5544aaac533bb483d0550f9e01ab"
"Phishing/Hacking","0xf36b756013f80b162e8713fb37df7dda0cd7f143"
"Blackmail","0xaC21Cb915E8A3fd8f465ed980C29B3c730dee67c"
"Solv Protocol","0x30fda944075c1b7e92498ce6358bcef1284febfa"
"Phishing/Hacking","0xe56ea353abc25d1a1d49676e6d21c43fae668f3e"
"Blackmail","0xa31573be292bd03d36db137b6c2ab6eaa3d5e572"
"Blackmail","0x1d0d6797f63bcd6845f9fcc4995703c14152ac55"
"Zapper Fi","0x7f249dbd212158e1ac449f0a37ca956c8186ac80"
"Phishing/Hacking","0x26bf2ea373496c1e4b91c49965cd58c60712787c"
"Gods Unchained","0xe5dc9d1b58fd5a95fc20a6c6afaa76d44d70a7df"
"Phishing/Hacking","0xba663f63ee6ef36d8778615db2b90679f605d8b4"
"Phishing/Hacking","0x74625cB6492a833439d8f874ca2DF77e6A61aF40"
"Phishing/Hacking","0x36135fcf43e11083476e7e5db980a3dda184e270"
"Phishing/Hacking","0x0d3c6F157fc40eDe8Fc2E80a2d03b961853cC243"
"Phishing/Hacking","0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c"
"Phishing/Hacking","0x710d92c2265204517d5804fa006860bb921269ad"
"tBTC","0x41a1b40c1280883ea14c6a71e23bb66b83b3fb59"
"Blockchain Cuties","0x312cb5dfc8e5414422568d017b475a40a5fc4faf"
"Phishing/Hacking","0xd34a599544d28f4f1efc307dcaf81ff50e36b56b"
"Blackmail","0xdE09020653cA303CFC143d23A18183299558065F"
"Phishing/Hacking","0xae26F672D40E1348C9cA892824a22CCDf13aE44C"
"Gnosis Safe","0x29067f28306419923bcff96e37f95e0f58abdbbe"
"Wallet App","0x4fed1fc4144c223ae3c1553be203cdfcbd38c581"
"Cryptonator","0x4fed1fc4144c223ae3c1553be203cdfcbd38c581"
"Value DeFi","0x635e4a8d23d9add975e931113ddd2ac3663a7325"
"Polygon (Matic)","0x6e7a5820bad6ceba8ef5ea69c0c92ebbdac9ce48"
"Phishing/Hacking","0xf88dcf6b7f3f48d2f94dfa82b9e79f8d083feb07"
"Fake Project Scam","0xdec7236d603c2aba9ff1a80fe9fd6b497f63cc56"
"KuCoin","0x039b5649a59967e3e936d7471f9c3700100ee1ab"
"OFAC","0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff"
"Government Criminal Blacklist","0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff"
"Phishing/Hacking","0x2178f2A7D1c254A9fB1F3B62AE565CACff2e7206"
"Phishing/Hacking","0xd88aef3e2be164b486e7a6f85d9da56567802c70"
"Phishing/Hacking","0x4182d887fb4fba8cd49e9f50908c13c761080ec5"
"Phishing/Hacking","0x358ad81db399b7601e8fcea1bfb01af31e646206"
"Phishing/Hacking","0x6fa311edc9c902f82c4796dca5848506b38fb650"
"Phishing/Hacking","0x6fdb2fe7ee003472de92b039de2d7e56f2e91e6d"
"Phishing/Hacking","0xC809E267ED1896a99f544d418332d921db1D5F9E"
"Phishing/Hacking","0xa68690056ef39a9c63d4f30f5b75efcc40222295"
"Tornado.Cash","0xba214c1c1928a32bffe790263e38b4af9bfcd659"
"Government Criminal Blacklist","0xba214c1c1928a32bffe790263e38b4af9bfcd659"
"Phishing/Hacking","0xb6619073688aa467f8def1df8438fff8dd0d64f8"
"Phishing/Hacking","0xa257916212808334c3bf34b096acaa7a9bf43e6f"
"DEX","0x368b3a58b5f49392e5c9e4c998cb0bb966752e51"
"CurveFi","0x368b3a58b5f49392e5c9e4c998cb0bb966752e51"
"Crypto Atoms","0xed48484223e6cd3347aea641bc299e43282634a0"
"Phishing/Hacking","0xf4a27922bd432d683e704daf6f8563f0d03ac13b"
"Factory Contract","0xde1c04855c2828431ba637675b6929a684f84c7f"
"Llama Pay","0xde1c04855c2828431ba637675b6929a684f84c7f"
"Liquity","0x8fdd3fbfeb32b28fb73555518f8b361bcea741a6"
"Phishing/Hacking","0x902d0d5bb6a34307bbd1da33e61ae1654b6cbe1e"
